--- Weapons

#newitem
#id offhandaxe
#gameid 17
#sprite /graphics/abysian/offhands/axe.png
#tag "name berserker"
#theme "primitive"
#enditem

#newitem
#id offhandbroadsword
#gameid 8
#sprite /graphics/offhand/standard/broadsword.png
#enditem

#newitem
#id offhandhammer
#gameid 13
#sprite /graphics/abysian/offhands/hammer.png
#enditem

#newitem
#id offhandmace
#gameid 12
#sprite /graphics/abysian/offhands/mace.png
#tag "name berserker"
#theme "primitive"
#enditem

#newitem
#id offhandmorningstar
#gameid 15
#sprite /graphics/abysian/offhands/morningstar.png
#enditem

#newitem
#id offhandshortsword
#gameid 6
#sprite /graphics/offhand/standard/shortsword.png
#enditem


#newitem
#id offhandfalchion
#gameid 10
#sprite /graphics/offhand/standard/falchion.png
#enditem



#newitem
#id offhanddagger
#gameid 9
#sprite /graphics/offhand/standard/dagger.png
#enditem


