
--- Robes

#newitem
#id simplerobe
#gameid 158
#sprite /graphics/bodyarmor/robes/simplerobe.png
#recolormask self
#tag "eliteversion simplerobe2"
#tag "eliteversion toga"
#armor
#tag "tier 2"
#tag "tier 1"
#enditem

#newitem
#id simplerobe2
#gameid 158
#sprite /graphics/bodyarmor/robes/simplerobe2.png
#recolormask self
#tag "tier 3"
#tag "tier 2"
#tag "tier 1"
#armor
#enditem


#newitem
#id eparchrobe2
#gameid 158
#sprite /graphics/bodyarmor/robes/eparchrobe1.png
#recolormask /graphics/bodyarmor/robes/eparchrobe1_recolormask.png
#armor
#tag "tier 3"
#tag "tier 2"
#tag "tier 1"
#enditem

#newitem
#id eparchrobe1
#gameid 158
#sprite /graphics/bodyarmor/robes/eparchrobe2.png
#recolormask /graphics/bodyarmor/robes/eparchrobe2_recolormask.png
#armor
#tag "eliteversion eparchrobe2"
#tag "tier 2"
#tag "tier 1"
#enditem

#newitem
#id monkrobes2
#gameid 158
#sprite /graphics/bodyarmor/robes/monkrobes2.png
#recolormask self
#armor
#tag "eliteversion monkrobes1"
#tag "tier 2"
#tag "tier 1"
#enditem


#newitem
#id brownrobe1
#gameid 158
#sprite /graphics/bodyarmor/robes/brownrobe.png
#armor
#tag "tier 2"
#tag "tier 1"
#tag "eliteversion brownrobe_gold_1"
#enditem


#newitem
#id brownrobe2
#gameid 158
#sprite /graphics/bodyarmor/robes/brownrobe.png
#recolormask /graphics/bodyarmor/robes/brownrobe_recolormask.png
#armor
#tag "tier 2"
#tag "tier 1"
#tag "eliteversion brownrobe_gold_2"
#enditem
