--- No armor
#new
#id naked
#gameid -1
#basechance 0.5
#theme naked
#theme primitive
#end

#new
#id furs
#gameid 44
#basechance 2
#sprite /graphics/cyclops/armor/furs.png
#theme primitive
#end


--- Leather
#newitem
#id "simple leather cuirass"
#gameid 5
#sprite /graphics/cyclops/armor/cuirass_leather_simple.png
#armor
#theme leather
#enditem

#newitem
#id "leather cuirass"
#gameid 5
#sprite /graphics/cyclops/armor/cuirass_leather.png
#recolormask /graphics/cyclops/armor/plate_recolormask.png
#armor
#theme leather
#theme advanced
#enditem

#newitem
#id "leather hauberk"
#gameid 10
#sprite /graphics/cyclops/armor/hauberk_leather.png
#recolormask /graphics/cyclops/armor/plate_recolormask.png
#armor
#theme leather
#theme advanced
#enditem


--- Scale
#newitem
#id "bronze scale cuirass"
#gameid 142
#sprite /graphics/cyclops/armor/scale_cuirass_bronze.png
#armor
#theme bronze
#enditem

#newitem
#id "iron scale cuirass"
#gameid 7
#sprite /graphics/cyclops/armor/scale_cuirass_iron.png
#armor
#theme iron
#enditem


-- Plate
#newitem
#id "simple bronze cuirass"
#gameid 100
#sprite /graphics/cyclops/armor/cuirass_simple_bronze.png
#armor
#theme bronze
#enditem

#newitem
#id "bronze cuirass"
#gameid 100
#sprite /graphics/cyclops/armor/plate_cuirass_bronze.png
#recolormask /graphics/cyclops/armor/plate_recolormask.png
#armor
#theme bronze
#theme advanced
#enditem

#newitem
#id "simple iron cuirass"
#gameid 7
#sprite /graphics/cyclops/armor/cuirass_simple_iron.png
#armor
#theme iron
#enditem

#newitem
#id "iron cuirass"
#gameid 7
#sprite /graphics/cyclops/armor/plate_cuirass_iron.png
#recolormask /graphics/cyclops/armor/plate_recolormask.png
#armor
#theme iron
#theme advanced
#enditem
