--- Scale
#newitem
#name "bronze scale cuirass"
#gameid 142
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_bronze.png
#armor
#theme bronze
#eliteversion "gold scale cuirass"
#enditem

#newitem
#name "bronze scale hauberk"
#gameid 136
#sprite /graphics/cyclops/elder/armor/scale_hauberk_elite_bronze.png
#armor
#theme bronze
#eliteversion "gold scale hauberk"
#enditem

#newitem
#name "iron scale cuirass"
#gameid 7
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_iron.png
#armor
#theme iron
#eliteversion "silver scale cuirass"
#enditem

#newitem
#name "iron scale hauberk"
#gameid 12
#sprite /graphics/cyclops/elder/armor/scale_hauberk_elite_iron.png
#armor
#theme iron
#eliteversion "silver scale hauberk"
#enditem

#newitem
#name "gold scale cuirass"
#gameid 49
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_gold.png
#armor
#theme elite
#theme bronze
#theme gold
#themeinc theme silver *0.01
#enditem

#newitem
#name "gold scale hauberk"
#gameid 196
#sprite /graphics/cyclops/elder/armor/scale_hauberk_elite_gold.png
#armor
#theme elite
#theme bronze
#theme gold
#themeinc theme silver *0.01
#enditem

#newitem
#name "silver scale cuirass"
#gameid 49
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_silver.png
#armor
#theme elite
#theme iron
#theme silver
#themeinc theme gold *0.01
#enditem

#newitem
#name "silver scale hauberk"
#gameid enchantedscalemail
#sprite /graphics/cyclops/elder/armor/scale_hauberk_silver.png
#armor
#theme elite
#theme iron
#theme silver
#themeinc theme gold *0.01
#enditem

-- Plate
#newitem
#name "bronze cuirass"
#gameid 100
#sprite /graphics/cyclops/elder/armor/plate_cuirass_bronze.png
#armor
#theme bronze
#eliteversion "gold cuirass"
#enditem

#newitem
#name "bronze hauberk"
#gameid 101
#sprite /graphics/cyclops/elder/armor/plate_hauberk_bronze.png
#armor
#theme bronze
#eliteversion "gold hauberk"
#enditem

#newitem
#name "iron cuirass"
#gameid 7
#sprite /graphics/cyclops/elder/armor/plate_cuirass_iron.png
#armor
#theme iron
#eliteversion "silver cuirass"
#enditem

#newitem
#name "iron hauberk"
#gameid 12
#sprite /graphics/cyclops/elder/armor/plate_hauberk_iron.png
#armor
#theme iron
#eliteversion "silver hauberk"
#enditem

#newitem
#name "silver cuirass"
#gameid 245
#sprite /graphics/cyclops/elder/armor/plate_cuirass_silver.png
#armor
#theme iron
#theme elite
#theme silver
#themeinc theme gold *0.01
#enditem

#newitem
#name "silver hauberk"
#gameid 246
#sprite /graphics/cyclops/elder/armor/plate_hauberk_silver.png
#armor
#theme iron
#theme elite
#theme silver
#themeinc theme gold *0.01
#enditem

#newitem
#name "gold cuirass"
#gameid 236
#sprite /graphics/cyclops/elder/armor/plate_cuirass_gold.png
#armor
#theme bronze
#theme elite
#theme gold
#themeinc theme silver *0.01
#enditem

#newitem
#name "gold hauberk"
#gameid 237
#sprite /graphics/cyclops/elder/armor/plate_hauberk_gold.png
#armor
#theme bronze
#theme elite
#theme gold
#themeinc theme silver *0.01
#enditem
