--- Shields

-- Bucklers

#newitem
#id bronze_buckler
#gameid 1
#sprite /graphics/offhand/standard/bronzebuckler.png
#armor
#theme "bronze"
#enditem

#newitem
#id iron_buckler
#gameid 1
#sprite /graphics/offhand/standard/buckler.png
#armor
#theme "iron"
#enditem

#newitem
#id wood_buckler
#gameid 1
#sprite /graphics/offhand/standard/woodbuckler.png
#armor
#theme "wood"
#type slave
#enditem

#newitem
#id painted_buckler
#gameid 1
#sprite /graphics/offhand/standard/woodbuckler.png
#recolormask /graphics/offhand/standard/woodbuckler_recolormask.png
#armor
#theme "wood"
#type slave
#enditem


-- Standard shields

#newitem
#id shield3
#gameid 207
#basechance 2
#sprite /graphics/offhand/standard/shield3.png
#armor
#theme "wood"
#type slave
#enditem

#newitem
#id shield4
#gameid 208
#sprite /graphics/offhand/standard/shield4.png
#armor
#theme "iron"
#theme "elite"
#enditem

#newitem
#id shield4yellow
#gameid 209
#sprite /graphics/offhand/standard/shield4-yellow.png
#armor
#theme "bronze"
#theme "elite"
#enditem

#newitem
#id shield8
#gameid 208
#sprite /graphics/offhand/standard/shield8.png
#armor
#theme "iron"
#enditem

#newitem
#id shield10_iron
#gameid 208
#basechance 4
#sprite /graphics/offhand/standard/shield10.png
#eliteversion shield10_iron_painted
#armor
#theme "iron"
#enditem

#newitem
#id shield10_iron_painted
#gameid 208
#sprite /graphics/offhand/standard/shield10.png
#recolormask /graphics/offhand/standard/shield10_painted_recolormask.png
#armor
#theme "iron"
#theme "elite"
#enditem

#newitem
#id shield10_bronze
#gameid 209
#basechance 4
#sprite /graphics/offhand/standard/shield10_bronze.png
#eliteversion shield10_bronze_painted
#armor
#theme "bronze"
#enditem

#newitem
#id shield10_bronze_painted
#gameid 209
#sprite /graphics/offhand/standard/shield10_bronze.png
#recolormask /graphics/offhand/standard/shield10_painted_recolormask.png
#armor
#theme "bronze"
#theme "elite"
#enditem

#newitem
#id shield10_wicker
#gameid 207
#basechance 4
#sprite /graphics/offhand/standard/shield10_unpainted.png
#eliteversion shield10_wicker_painted
#armor
#theme "wood"
#type slave
#enditem

#newitem
#id shield10_wicker_painted
#gameid 207
#sprite /graphics/offhand/standard/shield10.png
#recolormask /graphics/offhand/standard/shield10_painted_recolormask2.png
#armor
#theme "wood"
#theme "elite"
#type slave
#enditem



