#newitem
#id none
#basechance 0
#gameid -1
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

-- Bucklers
#newitem
#id woodbuckler
#gameid 1
#sprite /graphics/firbolg/offhand/buckler_wood.png
#recolormask /graphics/firbolg/offhand/buckler_wood_recolormask.png
#armor
#theme "wood"
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id bronzebuckler
#gameid 1
#sprite /graphics/firbolg/offhand/buckler_bronze.png
#recolormask /graphics/firbolg/offhand/buckler_recolormask.png
#armor
#theme "bronze"
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id ironbuckler
#gameid 1
#sprite /graphics/firbolg/offhand/buckler_iron.png
#recolormask /graphics/firbolg/offhand/buckler_recolormask.png
#armor
#theme "iron"
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem


--- Shields
#newitem
#id wood_shield
#gameid 2
#sprite /graphics/firbolg/offhand/shield1_wood.png
#recolormask /graphics/firbolg/offhand/shield1_wood_recolormask.png
#theme "primitive"
#theme "wood"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id wood_shield_bronze
#gameid 2
#sprite /graphics/firbolg/offhand/shield1_bronze.png
#recolormask /graphics/firbolg/offhand/shield1_recolormask.png
#eliteversion bronze_shield
#theme "bronze"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id wood_shield_iron
#gameid 2
#sprite /graphics/firbolg/offhand/shield1_iron.png
#recolormask /graphics/firbolg/offhand/shield1_recolormask.png
#eliteversion iron_shield
#theme "iron"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id bronze_shield
#gameid 209
#sprite /graphics/firbolg/offhand/shield2_bronze.png
#theme "bronze"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id iron_shield
#gameid 208
#sprite /graphics/firbolg/offhand/shield2_iron.png
#theme "iron"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id wood_shield2
#gameid 2
#sprite /graphics/firbolg/offhand/shield3_wood.png
#recolormask /graphics/firbolg/offhand/shield3_wood_recolormask.png
#theme "primitive"
#theme "wood"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id bronze_shield2
#gameid 209
#sprite /graphics/firbolg/offhand/shield4_bronze.png
#theme "bronze"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id iron_shield2
#gameid 208
#sprite /graphics/firbolg/offhand/shield4_iron.png
#theme "iron"
#armor
#tag "tier 1"
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id goldenshield1
#gameid 155
#sprite /graphics/firbolg/offhand/shield2_gold.png
#theme "elite"
#armor
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id goldenshield2
#gameid 155
#sprite /graphics/firbolg/offhand/shield4_gold.png
#theme "elite"
#armor
#tag "tier 2"
#tag "tier 3"
#enditem
