--- No armor

#new
#name "no armor"
#gameid -1
#basechance 0.25
#theme "naked"
#end

--- Leather

#newitem
#name "leather cuirass"
#gameid 5
#sprite /graphics/fomorian/armor/leathercuirass.png
#armor
#theme "leather"
#enditem

#newitem
#name "leather hauberk"
#gameid 10
#sprite /graphics/fomorian/armor/leatherhauberk.png
#armor
#theme "leather"
#enditem

#newitem
#name "full leather"
#gameid 15
#sprite /graphics/fomorian/armor/leatherfull.png
#armor
#theme "leather"
#enditem

--- Ring

#newitem
#name "bronze ring cuirass"
#gameid 6
#sprite /graphics/fomorian/armor/ringcuirass_bronze.png
#armor
#theme "leather"
#theme "bronze"
#enditem

#newitem
#name "bronze ring hauberk"
#gameid 11
#sprite /graphics/fomorian/armor/ringhauberk_bronze.png
#armor
#theme "leather"
#theme "bronze"
#enditem

#newitem
#name "bronze full ring"
#gameid 16
#sprite /graphics/fomorian/armor/ringfull_bronze.png
#armor
#theme "leather"
#theme "bronze"
#enditem

#newitem
#name "iron ring cuirass"
#gameid 6
#sprite /graphics/fomorian/armor/ringcuirass_iron.png
#armor
#theme "leather"
#theme "iron"
#enditem

#newitem
#name "iron ring hauberk"
#gameid 11
#sprite /graphics/fomorian/armor/ringhauberk_iron.png
#armor
#theme "leather"
#theme "iron"
#enditem

#newitem
#name "iron full ring"
#gameid 16
#sprite /graphics/fomorian/armor/ringfull_iron.png
#armor
#theme "leather"
#theme "iron"
#enditem


--- Scale

#newitem
#name "bronze scale cuirass"
#gameid 142
#sprite /graphics/fomorian/armor/scalecuirass_bronze.png
#armor
#theme "bronze"
#enditem

#newitem
#name "scale hauberk"
#gameid 136
#sprite /graphics/fomorian/armor/scalehauberk_bronze.png
#armor
#theme "bronze"
#enditem

#newitem -- full scale
#name "full scale"
#gameid bronzescale_full
#sprite /graphics/fomorian/armor/scalefull_bronze.png
#armor
#basechance 0.5
#theme "bronze"
#enditem

#newitem
#name "iron scale cuirass"
#gameid 7
#sprite /graphics/fomorian/armor/scalecuirass_iron.png
#armor
#theme "iron"
#enditem

#newitem
#name "iron scale hauberk"
#gameid 12
#sprite /graphics/fomorian/armor/scalehauberk_iron.png
#armor
#theme "iron"
#enditem

#newitem -- full scale
#name "iron full scale"
#gameid 17
#sprite /graphics/fomorian/armor/scalefull_iron.png
#armor
#basechance 0.5
#theme "iron"
#enditem



--- Chain Mail

#newitem
#name "chain cuirass"
#gameid 8
#sprite /graphics/fomorian/armor/scalecuirass_iron.png
#armor
#theme "iron"
#enditem

#newitem
#name "chain hauberk short"
#gameid 13
#sprite /graphics/fomorian/armor/scalehauberk_iron.png
#armor
#theme "iron"
#enditem

#newitem -- full chain
#name "full chain"
#gameid 18
#sprite /graphics/fomorian/armor/scalefull_iron.png
#armor
#basechance 0.5
#theme "iron"
#enditem
