#newitem
#id none
#gameid -1
#nogen
#needstype larm onehand
#enditem

#newitem
#id missile
#gameid -1
#nogen
#basechance 0
#needstype larm missile
#type missile
#enditem

-- Natural weapons

#newitem
#id tentacle
#gameid 85
#tentacle
#needstype larm tentacle
#type melee
#enditem

#newitem
#id tentacle_sleep
#gameid 387
#tentacle
#command "#gcost +1"
#needstype larm tentacle
#type melee
#enditem

#newitem
#id tentacle_strangle
#gameid 116
#tentacle
#needstype larm tentacle
#type melee
#enditem

#newitem
#id pincer
#gameid 273
#pincer
#needstype larm pincer
#type melee
#enditem


-- 1h weapons
#newitem
#id oh_dagger
#gameid 9
#sprite /graphics/advancedhuman/weapons/oh_dagger.png
#offsetx 2
#offsety 6
#needstype larm onehand
#theme "iron"
#type melee
#enditem

#newitem
#id oh_shortsword
#gameid 6
#sprite /graphics/advancedhuman/weapons/oh_shortsword.png
#offsetx 2
#offsety 6
#needstype larm onehand
#theme "iron"
#type melee
#enditem

#newitem
#id oh_broadsword
#gameid 8
#sprite /graphics/advancedhuman/weapons/oh_broadsword.png
#offsetx 2
#offsety 6
#needstype larm onehand
#theme "iron"
#type melee
#enditem

#newitem
#id oh_falchion
#gameid 10
#sprite /graphics/advancedhuman/weapons/oh_falchion.png
#offsetx 2
#offsety 6
#needstype larm onehand
#theme "iron"
#type melee
#enditem

#newitem
#id axe
#gameid 17
#sprite /graphics/vaettir/offhand/hatchet.png
#offsetx 2
#offsety 1
#onehand
#theme "iron"
#theme "primitive"
#chanceinc unittag irregular 8
#needstype larm onehand
#type melee
#enditem

#newitem
#id oh_mace
#gameid 12
#sprite /graphics/advancedhuman/weapons/oh_mace.png
#offsetx 2
#offsety 6
#needstype larm onehand
#theme "primitive"
#maxprot 15
#chanceinc unittag irregular 8
#type melee
#enditem

#newitem
#id oh_hammer
#gameid 13
#sprite /graphics/advancedhuman/weapons/oh_hammer.png
#offsetx 2
#offsety 6
#needstype larm onehand
#theme "advanced"
#type melee
#enditem

#newitem
#id oh_morningstar
#gameid 15
#sprite /graphics/advancedhuman/weapons/oh_morningstar.png
#offsetx 2
#offsety 6
#needstype larm onehand
#theme "advanced"
#type melee
#enditem
