--- Weapons

#newitem
#id offhandaxe
#gameid 17
#sprite /graphics/avvim/offhand/axe.png
#offsetx 10
#offsety -6
#enditem

#newitem
#id offhandmace
#gameid 12
#sprite /graphics/avvim/offhand/mace.png
#offsetx 10
#offsety -6
#theme "primitive"
#enditem

#newitem
#id offhandmorningstar
#gameid 15
#sprite /graphics/avvim/offhand/morningstar.png
#offsetx 10
#offsety -6
#theme "advanced"
#enditem

#newitem
#id offhandshortsword
#gameid 6
#sprite /graphics/avvim/offhand/shortsword.png
#offsetx 10
#offsety -6
#theme "advanced"
#enditem

#newitem
#id offhandbroadsword
#gameid 8
#sprite /graphics/avvim/offhand/broadsword.png
#offsetx 10
#offsety -6
#theme "advanced"
#enditem

#newitem
#id offhandfalchion
#gameid 10
#sprite /graphics/avvim/offhand/falchion.png
#offsetx 10
#offsety -6
#theme "advanced"
#enditem


