#newitem
#id none
#basechance 12
#gameid -1
#armor
#theme "naked"
#theme "primitive"
#enditem


-- Leather

#newitem
#id leathercap
#gameid 120
#sprite /graphics/helmet/standard/leathercap.png
#offsetx -7
#offsety -19
#armor
#tag "eliteversion fancyhat"
#tag "eliteversion fancyhat2"
#tag "eliteversion fancyhat3a"
#tag "eliteversion fancyhat3b"
#theme "leather"
#needs hair none
#enditem

#newitem
#id reinforcedcap1
#gameid 119
#sprite /graphics/helmet/standard/reinforcedcap1.png
#offsetx -7
#offsety -20
#armor
#tag "eliteversion reinforcedcap1"
#tag "eliteversion fancyhat"
#tag "eliteversion fancyhat2"
#tag "eliteversion fancyhat3a"
#tag "eliteversion fancyhat3b"
#theme "leather"
#needs hair none
#enditem

#newitem
#id reinforcedcap2
#gameid 119
#sprite /graphics/helmet/standard/reinforcedcap2.png
#offsetx -7
#offsety -19
#armor
#tag "eliteversion reinforcedcap2"
#tag "eliteversion fancyhat"
#tag "eliteversion fancyhat2"
#tag "eliteversion fancyhat3a"
#tag "eliteversion fancyhat3b"
#theme "leather"
#needs hair none
#enditem

#newitem
#id reinforcedcap3a
#basechance 0.5
#gameid 119
#sprite /graphics/helmet/standard/reinforcedcap3.png
#recolormask /graphics/helmet/standard/reinforcedcap3_recolormask1.png
#offsetx -7
#offsety -18
#armor
#tag "eliteversion crestedhelm1a"
#theme "leather"
#needs hair none
#enditem

#newitem
#id reinforcedcap3b
#basechance 0.5
#gameid 119
#sprite /graphics/helmet/standard/reinforcedcap3.png
#recolormask /graphics/helmet/standard/reinforcedcap3_recolormask2.png
#offsetx -7
#offsety -18
#armor
#tag "eliteversion crestedhelm1b"
#theme "leather"
#needs hair none
#enditem

#newitem
#id crestedhelm1a
#gameid 162
#sprite /graphics/helmet/special/crestedhelmet.png
#recolormask /graphics/helmet/special/crestedhelmet_recolormask1.png
#offsetx -7
#offsety -18
#armor
#theme "elite"
#needs hair none
#enditem

#newitem
#id crestedhelm1b
#gameid 162
#sprite /graphics/helmet/special/crestedhelmet.png
#recolormask /graphics/helmet/special/crestedhelmet_recolormask2.png
#offsetx -7
#offsety -18
#armor
#theme "elite"
#needs hair none
#enditem

#newitem
#id fancyhat
#gameid 120
#sprite /graphics/helmet/special/fancyhat.png
#recolormask /graphics/helmet/special/fancyhat_recolormask.png
#offsetx -7
#offsety -19
#armor
#theme "elite"
#theme "leather"
#theme "advanced"
#needs hair none
#enditem

#newitem
#id fancyhat2
#gameid 120
#sprite /graphics/helmet/special/fancyhat2.png
#recolormask /graphics/helmet/special/fancyhat2_recolormask.png
#offsetx -7
#offsety -19
#armor
#theme "elite"
#theme "leather"
#theme "advanced"
#needs hair none
#enditem

#newitem
#id fancyhat3a
#gameid 120
#sprite /graphics/helmet/special/fancyhat3.png
#recolormask /graphics/helmet/special/fancyhat3_recolormask1.png
#offsetx -7
#offsety -19
#armor
#theme "elite"
#theme "leather"
#theme "advanced"
#needs hair none
#enditem

#newitem
#id fancyhat3b
#gameid 120
#sprite /graphics/helmet/special/fancyhat3.png
#recolormask /graphics/helmet/special/fancyhat3_recolormask2.png
#offsetx -7
#offsety -19
#armor
#theme "elite"
#theme "leather"
#theme "advanced"
#needs hair none
#enditem

#newitem
#id bearskin-elite
#gameid 121
#sprite /graphics/helmet/special/bearskin.png
#offsetx -7
#offsety -19
#armor
#theme "primitive"
#theme "elite"
#theme "leather"
#needs hair none
#enditem

#newitem
#id wolfskin-elite
#gameid 121
#sprite /graphics/helmet/special/wolfskin.png
#offsetx -7
#offsety -19
#armor
#theme "primitive"
#theme "elite"
#theme "leather"
#needs hair none
#enditem



-- Bronze

#newitem
#id bronzecap
#gameid 135
#sprite /graphics/helmet/standard/bronzecap.png
#offsetx -7
#offsety -20
#tag "eliteversion bronzecap_elite"
#theme "bronze"
#theme "advanced"
#armor
#needs hair none
#enditem

#newitem
#id bronzecap_elite
#gameid 135
#sprite /graphics/helmet/standard/bronzecap_elite.png
#recolormask /graphics/helmet/standard/bronzecap_elite_recolormask.png
#offsetx -7
#offsety -20
#armor
#theme "elite"
#theme "bronze"
#theme "advanced"
#needs hair none
#enditem

#newitem
#id bronzecap2
#gameid 135
#sprite /graphics/helmet/standard/bronzecap2.png
#offsetx -7
#offsety -20
#theme "bronze"
#theme "advanced"
#armor
#needs hair none
#enditem



-- Iron

#newitem
#id cavalry_ironcap
#gameid 20
#sprite /graphics/helmet/standard/halfhelmet7.png
#offsetx -7
#offsety -19
#armor
#theme "iron"
#theme "advanced"
#needs hair none
#enditem

#newitem -- Iron cap
#id halfhelmet-ironcap
#gameid 20
#sprite /graphics/helmet/standard/halfhelmet.png
#offsetx -7
#offsety -19
#armor
#theme "iron"
#theme "advanced"
#needs hair none
#enditem

#newitem -- Iron cap
#id halfhelmet2-ironcap
#gameid 20
#sprite /graphics/helmet/standard/halfhelmet2.png
#offsetx -7
#offsety -19
#armor
#theme "iron"
#theme "advanced"
#needs hair none
#enditem
