--- Weapons

#newitem
#id offhandaxe
#gameid 17
#sprite /graphics/avvim/offhand/axe.png
#offsetx 10
#offsety -6
#theme "iron"
#enditem

#newitem
#id offhandmace
#gameid 12
#sprite /graphics/avvim/offhand/mace.png
#offsetx 10
#offsety -6
#theme "primitive"
#enditem

#newitem
#id offhandmorningstar
#gameid 15
#sprite /graphics/avvim/offhand/morningstar.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandshortsword
#gameid 6
#sprite /graphics/avvim/offhand/shortsword.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandbroadsword
#gameid 8
#sprite /graphics/avvim/offhand/broadsword.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandfalchion
#gameid 10
#sprite /graphics/avvim/offhand/falchion.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandhatchet_bronze
#gameid 646
#sprite /graphics/highmen/weapons/offhand_axe_bronze.png
#offsetx 4
#offsety -10
#chanceinc unittag irregular 8
#theme "bronze"
#enditem

#newitem
#id offhandmorningstar_bronze
#gameid bronzemorningstar
#sprite /graphics/highmen/weapons/offhand_morningstar_bronze.png
#offsetx 5
#offsety -10
#theme "advanced"
#theme "bronze"
#enditem

#newitem
#id offhandsword_bronze
#gameid 645
#sprite /graphics/highmen/weapons/offhand_shortsword_bronze.png
#offsetx 5
#offsety -10
#theme "bronze"
#enditem

#newitem
#id offhandbroadsword_bronze
#gameid bronzebroadsword
#sprite /graphics/highmen/weapons/offhand_broadsword_bronze.png
#offsetx 5
#offsety -10
#theme "advanced"
#theme "bronze"
#enditem


