#newitem
#id barechest
#gameid -1
#armor
#theme "naked"
#theme "primitive"
#tag "prefix barechested"
#enditem

--- Furs

#newitem
#name "furs"
#gameid 44
#basechance 2
#sprite /graphics/halfmen/satyr/armor/furs.png
#armor
#theme "primitive"
#enditem

--- Leather

#newitem
#name "leather cuirass"
#gameid 5
#sprite /graphics/halfmen/satyr/armor/leather_cuirass.png
#armor
#theme "leather"
#enditem

#newitem
#name "leather hauberk"
#gameid 10
#sprite /graphics/halfmen/satyr/armor/leather_hauberk.png
#armor
#theme "leather"
#enditem

--- Ring

#newitem
#name "ring cuirass"
#gameid 6
#sprite /graphics/halfmen/satyr/armor/ring_cuirass.png
#armor
#theme "leather"
#theme "iron"
#enditem

#newitem
#name "ring hauberk"
#gameid 11
#sprite /graphics/halfmen/satyr/armor/ring_hauberk.png
#armor
#theme "leather"
#theme "iron"
#enditem

#newitem
#name "bronze ring cuirass"
#gameid 6
#sprite /graphics/halfmen/satyr/armor/bronze_ring_cuirass.png
#armor
#theme "leather"
#theme "bronze"
#enditem

#newitem
#name "bronze ring hauberk"
#gameid 11
#sprite /graphics/halfmen/satyr/armor/bronze_ring_hauberk.png
#armor
#theme "leather"
#theme "bronze"
#enditem

