--- Weapons

#newitem
#id offhandaxe
#gameid 17
#sprite /graphics/avvim/offhand/axe.png
#offsetx 7
#offsety -8
#theme "primitive"
#enditem

#newitem
#id offhandmace
#gameid 12
#sprite /graphics/avvim/offhand/mace.png
#offsetx 7
#offsety -8
#theme "primitive"
#enditem

#newitem
#id offhandmorningstar
#gameid 15
#sprite /graphics/avvim/offhand/morningstar.png
#offsetx 7
#offsety -8
#enditem

#newitem
#id offhandbroadsword
#gameid 8
#sprite /graphics/avvim/offhand/broadsword.png
#offsetx 7
#offsety -8
#enditem

#newitem
#id offhandfalchion
#gameid 10
#sprite /graphics/avvim/offhand/falchion.png
#offsetx 7
#offsety -8
#enditem

#newitem
#id claymore
#gameid 258
#sprite /graphics/highmen/weapons/oversized/greatsword_oh.png
#enditem

