--- Leather
#newitem
#name "nothing"
#gameid -1
#armor
#theme naked
#theme primitive
#enditem

#newitem
#name "tunic"
#gameid -1
#armor
#theme cloth
#enditem

#newitem
#name "furs_wolf"
#gameid 44
#sprite /graphics/imperial/legion/armor/furs_light_wolf.png
#needs underlay furs_wolf
#armor
#theme primitive
#enditem

#newitem
#name "linen cuirass"
#gameid 183
#sprite /graphics/imperial/legion/armor/linen_cuirass_light.png
#armor
#theme cloth
#enditem

#newitem
#name "leather cuirass"
#gameid 5
#sprite /graphics/imperial/legion/armor/leather_cuirass_light.png
#armor
#theme leather
#enditem

#newitem
#name "ring cuirass"
#gameid 6
#sprite /graphics/imperial/legion/armor/ring_cuirass_light.png
#armor
#theme leather
#theme iron
#enditem

#newitem
#name "scale cuirass"
#gameid 7
#sprite /graphics/imperial/legion/armor/scale_cuirass_light.png
#armor
#theme iron
#enditem
