--- Weapons

#newitem
#id offhand_axe
#gameid 17
#sprite /graphics/highmen/weapons/offhand_axe.png
#theme "primitive"
#enditem

#newitem
#id offhand_mace
#gameid 12
#sprite /graphics/highmen/weapons/offhand_mace.png
#theme "primitive"
#enditem

#newitem
#id offhand_hammer
#gameid 13
#sprite /graphics/highmen/weapons/offhand_hammer.png
#enditem

#newitem
#id offhand_morningstar
#gameid 15
#sprite /graphics/highmen/weapons/offhand_morningstar.png
#enditem

#newitem
#id offhand_shortsword
#gameid 6
#sprite /graphics/highmen/weapons/offhand_shortsword.png
#enditem

#newitem
#id offhand_broadsword
#gameid 8
#sprite /graphics/highmen/weapons/offhand_broadsword.png
#enditem

#newitem
#id offhand_falchion
#gameid 10
#sprite /graphics/highmen/weapons/offhand_falchion.png
#enditem
