
--- Robes



#newitem
#id chainhauberk
#gameid 13
#sprite /graphics/vanir/armor/chainhauberk.png
#armor
#tag "tier 2"
#eliteversion goldencuirass
#enditem

#newitem
#id coloredhauberk
#gameid 10
#sprite /graphics/vanir/armor/special/coloredhauberk.png
#recolormask self
#armor
#tag "tier 2"
#eliteversion goldenhauberk
#enditem


#newitem
#id goldencuirass
#gameid 8
#sprite /graphics/vanir/armor/special/goldencuirass.png
#armor
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id goldenhauberk
#gameid 13
#sprite /graphics/vanir/armor/special/goldenhauberk.png
#armor
#tag "tier 3"
#enditem
