--- Weapons

#newitem
#id offhandclaw
#gameid 204
#theme "primitive"
#theme "abysian"
#basechance 5
#needstype basesprite claw
#needstype armor light
#enditem

#newitem
#id offhandaxe
#gameid 17
#sprite /graphics/abysian/offhands/axe.png
#tag "name berserker"
#theme "primitive"
#theme "iron"
#theme "abysian"
#needstype basesprite hands
#enditem

#newitem
#id offhandbroadsword
#gameid 8
#sprite /graphics/offhand/standard/broadsword.png
#theme "iron"
#needstype basesprite hands
#enditem

#newitem
#id offhandhammer
#gameid 13
#sprite /graphics/abysian/offhands/hammer.png
#theme "iron"
#theme "abysian"
#needstype basesprite hands
#enditem

#newitem
#id offhandmace
#gameid 12
#sprite /graphics/abysian/offhands/mace.png
#tag "name berserker"
#theme "primitive"
#theme "iron"
#theme "abysian"
#needstype basesprite hands
#enditem

#newitem
#id offhandmorningstar
#gameid 15
#sprite /graphics/abysian/offhands/morningstar.png
#theme "iron"
#theme "abysian"
#needstype basesprite hands
#enditem

#newitem
#id offhandshortsword
#gameid 6
#sprite /graphics/offhand/standard/shortsword.png
#theme "iron"
#needstype basesprite hands
#enditem


#newitem
#id offhandfalchion
#gameid 10
#sprite /graphics/offhand/standard/falchion.png
#theme "iron"
#needstype basesprite hands
#enditem

#newitem
#id offhanddagger
#gameid 9
#sprite /graphics/offhand/standard/dagger.png
#theme "iron"
#needstype basesprite hands
#enditem


