--- Shields

#newitem
#id shield_wood
#gameid 2
#sprite /graphics/asmegir/offhand/shield_wood.png
#armor
#theme wood
#enditem

#newitem
#id shield_jotun
#gameid 2
#sprite /graphics/asmegir/offhand/shield_jotun.png
#armor
#theme wood
#enditem

#newitem
#id shield_iron
#gameid 208
#sprite /graphics/asmegir/offhand/shield_iron.png
#armor
#theme iron
#enditem

#newitem
#id shield_gold
#gameid 155
#sprite /graphics/asmegir/offhand/shield_gold.png
#armor
#theme gold
#theme elite
#notfortier 1
#tier 2
#tier 3
#enditem
