
--- Scale
#newitem
#id "bronze scale cuirass"
#gameid 142
#sprite /graphics/gigante/armor/scale_cuirass_bronze.png
#armor
#theme bronze
#needs legs greaves_short_bronze
#enditem

#newitem
#id "bronze scale hauberk"
#gameid 136
#sprite /graphics/gigante/armor/scale_hauberk_bronze.png
#armor
#theme bronze
#needs legs greaves_short_bronze
#enditem

#newitem -- full scale
#id "bronze full scale"
#gameid bronzescale_full
#sprite /graphics/gigante/armor/scale_full_bronze.png
#armor
#basechance 0.5
#theme bronze
#theme elite
#enditem

#newitem
#id "iron scale cuirass"
#gameid 7
#sprite /graphics/gigante/armor/scale_cuirass_iron.png
#armor
#theme iron
#needs legs greaves_short_iron
#enditem

#newitem
#id "iron scale hauberk"
#gameid 12
#sprite /graphics/gigante/armor/scale_hauberk_iron.png
#armor
#theme iron
#needs legs greaves_short_iron
#enditem

#newitem -- full scale
#id "iron full scale"
#gameid 17
#sprite /graphics/gigante/armor/scale_full_iron.png
#armor
#basechance 0.5
#theme iron
#theme elite
#enditem



-- Plate
#newitem
#id "bronze cuirass"
#gameid 100
#sprite /graphics/gigante/armor/plate_cuirass_bronze.png
#armor
#theme bronze
#needs legs greaves_short_bronze
#enditem

#newitem
#id "bronze hauberk"
#gameid 101
#sprite /graphics/gigante/armor/plate_hauberk_bronze.png
#armor
#theme bronze
#needs legs greaves_short_bronze
#enditem

#newitem -- full scale
#id "bronze full plate"
#gameid bronzeplate_full
#sprite /graphics/gigante/armor/plate_full_bronze.png
#armor
#basechance 0.5
#theme bronze
#theme elite
#enditem

#newitem
#id "iron cuirass"
#gameid 7
#sprite /graphics/gigante/armor/plate_cuirass_iron.png
#armor
#theme iron
#needs legs greaves_short_iron
#enditem

#newitem
#id "iron hauberk"
#gameid 12
#sprite /graphics/gigante/armor/plate_hauberk_iron.png
#armor
#theme iron
#needs legs greaves_short_iron
#enditem

#newitem -- full scale
#id "iron full plate"
#gameid 19
#sprite /graphics/gigante/armor/plate_full_iron.png
#armor
#basechance 0.5
#theme iron
#theme elite
#enditem

