--- Nekkid

#newitem
#id "aspturtle"
#gameid -1
#armor
#sprite /graphics/occidental/armor/aspturtle_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Asp Turtle Warrior"
#theme "aspturtle"
#theme "aspturtletotem"
#theme "coast"
#enditem

#newitem
#id "bear"
#gameid -1
#armor
#sprite /graphics/occidental/armor/bear_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Bear Warrior"
#theme "bear"
#theme "beartotem"
#theme "forest"
#enditem

#newitem
#id "boar"
#gameid -1
#armor
#sprite /graphics/occidental/armor/boar_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Boar Warrior"
#theme "boar"
#theme "boartotem"
#theme "forest"
#enditem

#newitem
#id "crocodile"
#gameid -1
#armor
#sprite /graphics/occidental/armor/crocodile_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Crocodile Warrior"
#theme "crocodile"
#theme "crocodiletotem"
#theme "jungle"
#theme "coast"
#enditem

#newitem
#id "deer"
#gameid -1
#armor
#sprite /graphics/occidental/armor/deer_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Deer Warrior"
#theme "deer"
#theme "deertotem"
#theme "forest"
#enditem

#newitem
#id "blackjaguar"
#gameid -1
#armor
#sprite /graphics/occidental/armor/jaguar_1h_black.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Jaguar Warrior"
#theme "jaguar"
#theme "jaguartotem"
#theme "night"
#enditem

#newitem
#id "jaguar"
#gameid -1
#armor
#sprite /graphics/occidental/armor/jaguar_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Jaguar Warrior"
#theme "jaguar"
#theme "jaguartotem"
#theme "jungle"
#enditem

#newitem
#id "lion"
#gameid -1
#armor
#sprite /graphics/occidental/armor/lion_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Lion Warrior"
#theme "lion"
#theme "liontotem"
#theme "waste"
#enditem

#newitem
#id "scorpion"
#gameid -1
#armor
#sprite /graphics/occidental/armor/scorpion_1h.png
#recolormask /graphics/occidental/legs/loincloth.png
#forcedname "Scorpion Warrior"
#theme "scorpion"
#theme "scorpiontotem"
#theme "waste"
#enditem

#newitem
#id "shark"
#gameid -1
#armor
#sprite /graphics/occidental/armor/shark_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Shark Warrior"
#theme "shark"
#theme "sharktotem"
#theme "coast"
#enditem

#newitem
#id "toad"
#gameid -1
#armor
#sprite /graphics/occidental/armor/toad_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Toad Warrior"
#theme "toad"
#theme "toadtotem"
#theme "jungle"
#enditem

#newitem
#id "turtle"
#gameid -1
#armor
#sprite /graphics/occidental/armor/turtle_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Turtle Warrior"
#theme "turtle"
#theme "turtletotem"
#theme "coast"
#theme "waste"
#enditem

#newitem
#id "wolf"
#gameid -1
#armor
#sprite /graphics/occidental/armor/wolf_1h.png
#recolormask /graphics/occidental/armor/jaguar_recolormask.png
#forcedname "Wolf Warrior"
#theme "wolf"
#theme "wolftotem"
#theme "night"
#enditem
