--- Shields

#newitem
#id bronzebuckler
#gameid 1
#sprite /graphics/offhand/standard/bronzebuckler.png
#armor
#theme "bronze"
#enditem

#newitem
#id shield6
#gameid 2
#sprite /graphics/offhand/standard/shield3.png
#armor
#enditem

#newitem
#id goldenshield1
#gameid 155
#sprite /graphics/offhand/sacred/goldenshield.png
#theme "elite"
#armor
#enditem

#newitem
#id goldenshield2
#gameid 155
#sprite /graphics/offhand/sacred/goldenshield5.png
#theme "elite"
#armor
#enditem

#newitem
#id goldenkite
#gameid 155
#sprite /graphics/offhand/sacred/goldenkite2.png
#theme "elite"
#theme "advanced"
#armor
#enditem

#newitem
#id kite1
#basechance 0.025
#gameid 209
#sprite /graphics/offhand/standard/kite1.png
#armor
#theme "advanced"
#recolormask /graphics/offhand/standard/kite1_recolormask.png
#enditem

#newitem
#id kite2
#basechance 0.025
#gameid 209
#sprite /graphics/offhand/standard/kite2.png
#armor
#theme "advanced"
#recolormask /graphics/offhand/standard/kite2_recolormask.png
#enditem

#newitem
#id kite3
#basechance 0.025
#gameid 209
#sprite /graphics/offhand/standard/kite8_bronze.png
#armor
#theme "advanced"
#enditem

#newitem
#id kite4
#basechance 0.025
#gameid 209
#sprite /graphics/offhand/standard/kite8_bronze.png
#armor
#theme "advanced"
#recolormask /graphics/offhand/standard/kite8_recolormask.png
#enditem
