--- Weapons

#newitem
#id offhandaxe
#gameid 675
#sprite /graphics/weapon/bronze/hatchet_oh.png
#tag "name berserker"
#theme "primitive"
#offsetx -4
#offsety -1
#enditem

#newitem
#id offhandbroadsword
#gameid bronzebroadsword
#sprite /graphics/weapon/bronze/broadsword_oh.png
#offsetx -3
#offsety -1
#enditem

#newitem
#id offhandhammer
#gameid bronzehammer
#sprite /graphics/weapon/bronze/hammer_oh.png
#offsetx -4
#offsety -1
#enditem

#newitem
#id offhandmace
#gameid 12
#sprite /graphics/offhand/standard/mace.png
#tag "name berserker"
#theme "primitive"
#offsetx -1
#offsety -2
#enditem

#newitem
#id offhandshortsword
#gameid 645
#sprite /graphics/weapon/bronze/shortsword_oh.png
#offsetx -4
#offsety -1
#enditem

#newitem
#id offhanddagger
#gameid 674
#sprite /graphics/weapon/bronze/dagger_oh.png
#offsetx -2
#offsety -2
#enditem


