--- Fire
Fiery 1 fire
Crimson 1 fire
Volcanic 1 fire
Scorched 1 fire
Burning 1 fire
Burned 1 fire
Molten 1 fire
Obsidian 1 fire
Charred 1 fire
Smouldering 1 fire
Raging 1 fire
Passionate 1 fire
Flaming 1 fire
Phosporic 1 fire
Choleric 1 fire
Pyretic 1 fire
Vengeful 1 fire
Blackened 1 fire
--- Air
Windy 1 air
Snowy 1 air
Misty 1 air
Electrified 1 air
Thundering 1 air
Gaseous 1 air
Cloudy 1 air
Stratospheric 1 air
Rainbow 1 air
Foggy 1 air
Well-ventilated 1 air
Stormy 1 air
Mercurial 1 air
Ephemereal 1 air
Whispering 1 air
Moaning 1 air
Windswept 1 air
--- Water
Damp 1 water
Wet 1 water
Flooded 1 water
Flooding 1 water
Blue 1 water
Watery 1 water
Dripping 1 water
Underwater 1 water
Frozen 1 water
Ice 1 water
Weeping 1 water
Coral 1 water
Leaking 1 water
Floating 1 water
Sunken 1 water
Sinking 1 water
--- Earth
Earthen 1 earth
Subterranean 1 earth
Caved-in 1 earth
Jewelled 1 earth
Golden 1 earth
Iron 1 earth
Steel 1 earth
Cavernous 1 earth
Stony 1 earth
Brass 1 earth
Metallic 1 earth
Crystalline 1 earth
Copper 1 earth
Rocky 1 earth
Melancholic 1 earth
Granite 1 earth
Marble 1 earth
Petrified 1 earth
Emerald 1 earth
Agate 1 earth
Diamond 1 earth
Bronze 1 earth
--- Astral
Mystic 1 astral
Astral 1 astral
Spectral 1 astral
Ethereal 1 astral
Starry 1 astral
Eternal 1 astral
Celestial 1 astral
Incomprehensible 1 astral
Rune-covered 1 astral
Secret 1 astral
Strange 1 astral
Endless 1 astral
Infinite 1 astral
Timeless 1 astral
Charmed 1 astral
Multidimensional 1 astral
Dimensional 1 astral
Otherworldly 1 astral
---  Death
Deadly 1 death
Dead 1 death
Black 1 death
Cursed 1 death
Undead 1 death
Dark 1 death
Black 1 death
Withering 1 death
Skeletal 1 death
Putrid 1 death
Festering 1 death
Rotten 1 death
Decaying 1 death
Lethal 1 death
Wretched 1 death
Pestilent 1 death
Dark 1 death
--- Nature
Evergrowing 1 nature
Green 1 nature
Verdant 1 nature
Overgrown 1 nature
Blossoming 1 nature
Growing 1 nature
Wooden 1 nature
Vine-covered 1 nature
Bamboo 1 nature
Sprouting 1 nature
Natural 1 nature
Mahogany 1 nature
Willow 1 nature
Fae 1 nature
Serpent 1 nature
--- Blood
Hellish 1 blood
Bloody 1 blood
Corrupting 1 blood
Desecrated 1 blood
Corrupted 1 blood
Demonic 1 blood
Forbidden 1 blood
Unnatural 1 blood
Blood-stained 1 blood
Grotesque 1 blood
Unspeakable 1 blood
Sacrificial 1 blood
Gibbering 1 blood
Wicked 1 blood
Bleeding 1 blood
Sanguine 1 blood
Twisted 1 blood
--- Holy
White 1 holy
Holy 1 holy
Sacred 1 holy
Pure 1 holy
Godly 1 holy
Safe 1 holy
Revered 1 holy
Blessed 1 holy
Hallowed 1 holy
Divine 1 holy
Righteous 1 holy
Cleansing 1 holy
Purging 1 holy
Virtuous 1 holy
--- Multi path
Ashen 2 fire death
Sinople 2 fire nature
Steaming 2 fire air
Acidic 2 fire water
Muddy 2 earth water
Rusty 2 earth water
Infernal 2 blood fire
Kokytosial 2 water blood
Mutated 2 blood nature
Feverish 2 fire nature
Boiling 2 fire water
--- Generic
Great
Grand
Superior
Sublime
Majestic
Glorious
