--- Nouns
Fire 1 fire
Lava 1 fire 
"the Eternal Fire" 1 fire
"Liquid Fire" 1 fire
"the Cinders" 1 fire
Lust 1 fire
Desire 1 fire
Passion 1 fire
"the Sun" 1 fire
"the Unbearable Heat" 1 fire
"Flowing Magma" 1 fire
---
Wind 1 air
"the Four Winds" 1 air
"the Gusts" 1 air
Air 1 air
Lightning 1 air
Electricity 1 air
Thunder 1 air
Sky 1 air
"the Clouds" 1 air
"Freezing Wind" 1 air
Rainbows 1 air
Illusions 1 air
Weather 1 air
"the Aerie" 1 air
"the Above" 1 air
---
Water 1 water
Ice 1 water
"the Liquids" 1 water
Drowning 1 water
"the Drowned" 1 water
"the Waves" 1 water
"Endless Rain" 1 water
Rain 1 water
"the Tridents" 1 water
Sharks 1 water
Whales 1 water
Turtles 1 water
Sea 1 water
Seafaring 1 water
"Frozen Lakes" 1 water
---
Ground 1 earth
Earth 1 earth
Gems 1 earth
Metals 1 earth
Iron 1 earth
Steel 1 earth
Gold 1 earth
Brass 1 earth
Crystals 1 earth
Copper 1 earth
Agates 1 earth
Diamonds 1 earth
Emeralds 1 earth
Bronze 1 earth
Silver 1 earth
Golemcrafting 1 earth
Blacksmithing 1 earth
"Molten Metals" 1 earth
Axes 1 earth
Swords 1 earth
Hammers 1 earth
"the Below" 1 earth
---
Mysteries 1 astral
"the Stars" 1 astral
Poems 1 astral
Stories 1 astral
"Pure Magic" 1 astral
"the Spheres" 1 astral
"the Higher Planes" 1 astral
Runes 1 astral
Names 1 astral
Secrets 1 astral
Endlessness 1 astral
Truth 1 astral
Dimensions 1 astral
"the Moon" 1 astral
Moonlight 1 astral
"the Mind" 1 astral
Eclipses 1 astral
"Hidden Truth" 1 astral
Madness 1 astral
---
Death 1 death
"the Fallen" 1 death
"the Buried" 1 death
"the Forgotten" 1 death
"the Slain" 1 death
"the Risen" 1 death
Reanimation 1 death
Bones 1 death
"the Rotten Flesh" 1 death
Cries 1 death
"Crying Children" 1 death
Sorrow 1 death
"the Putrid" 1 death
Festering 1 death
Despair 1 death
Purtification 1 death
Corpses 1 death
"the Dead" 1 death
Darkness 1 death
Blight 1 death
Ashes 1 death
Dust 1 death
"Eternal Rest" 1 death
---
Nature 1 nature
"the Wilds" 1 nature
"Falling Leaves" 1 nature
Growth 1 nature
Life 1 nature
Wood 1 nature
"Cherry Blossoms" 1 nature
"the Trees" 1 nature
Revelry 1 nature
Snakes 1 nature
Bears 1 nature
Wolves 1 nature
Animals 1 nature
Efflorescence 1 nature
Regrowth 1 nature
Rejuvenation 1 nature
Photosynthesis 1 nature
Revelry 1 nature
Healing 1 nature
---
Demons 1 blood
"the Lower Planes" 1 blood
"Corrupted Magic" 1 blood
Blood 1 blood
Corruption 1 blood
Slavery 1 blood
"the Virgin Slaves" 1 blood
"Demonic Magic" 1 blood
"Forbidden Runes" 1 blood
"Sacrificial Blood" 1 blood
"the Grotesque" 1 blood
"the Unspeakable" 1 blood
Desecration 1 blood
"Unspeakable Atrocities" 1 blood
Madness 1 blood
Mutilation 1 blood
Horrors 1 blood
---
Purity 1 holy
Power 1 holy
Sanctity 1 holy
Holiness 1 holy
Redemption 1 holy
Virtue 1 holy
Virginity 1 holy
Cleansing 1 holy
Love 1 holy
"the Hallowed" 1 holy
"the Blessed" 1 holy
"the Virtuous" 1 holy
"the Divine" 1 holy
Divinity
"the Inquisiton" 1 holy
Righteousness
---
"Charred Corpses" 2 fire death
"Ash" 2 fire death
"Sunken Ships" 2 water death
Magma 2 fire earth
"Molten Earth" 2 fire earth
"Acid" 2 fire water
"Steam" 2 fire air
"Hellfire" 2 fire blood
"Mud" 2 water earth
"Rust" 2 earth water
"Kokytos" 2 blood water
"Inferno" 2 blood fire
