--- Mage-priest
#newpose
#role "mage"
#role "priest"
#name "non-combatant caster"

#tier 1
#tier 2
#tier 3

#dontvaryhat

#load basesprite /data/items/bakemono/bases_caster.txt
#load shadow /data/items/bakemono/shadow.txt
#load hands /data/items/bakemono/hands.txt
#load cloakf /data/items/bakemono/cloakf.txt 1 0
#load cloakb /data/items/bakemono/cloakb.txt 1 0
#load armor /data/items/bakemono/robes.txt
#load weapon /data/items/bakemono/weapon_mages.txt
#load offhand /data/items/human/caster/offhands.txt  2 -3
#load hair /data/items/bakemono/hair.txt

#generateitem 1 hair
#endpose




#newpose
#role "mage"
#role "priest"
#name "unmounted warrior-caster"

#chanceinc hasprimaryrace *0.2
#chanceinc racetag "fae" *10

#tier 1
#tier 2
#warriormage

#load basesprite /data/items/bakemono/bases.txt
#load shadow /data/items/bakemono/shadow.txt
#load hands /data/items/bakemono/hands.txt
#load cloakf /data/items/bakemono/cloakf.txt 1 0
#load cloakb /data/items/bakemono/cloakb.txt 1 0
#load armor /data/items/bakemono/armor_caster.txt
#load helmet /data/items/bakemono/helmet_caster.txt
#load weapon /data/items/bakemono/weapon_caster.txt
#load offhand /data/items/bakemono/shields_caster.txt
#load hair /data/items/bakemono/hair.txt

#generateitem 1 hair
#endpose


#newpose
#role "mage"
#role "priest"
#name "mounted warrior-caster"

#chanceinc hasprimaryrace *0.2
#chanceinc racetag "fae" *10
#chanceinc moduleid herogen *5

#tier 2
#tier 3
#warriormage

#baseitemslot feet 0

#load basesprite /data/items/bakemono/bases_mounted.txt
#load mount /data/items/bakemono/mounts.txt 0 -14
#load overlay /data/items/human/human_mounted/mountedoverlay.txt 
#load hands /data/items/bakemono/hands.txt
#load cloakf /data/items/bakemono/cloakf.txt 1 0
#load cloakb /data/items/bakemono/cloakb.txt 1 0
#load armor /data/items/bakemono/armor_caster.txt
#load helmet /data/items/bakemono/helmet_caster.txt
#load weapon /data/items/bakemono/weapon_caster.txt
#load offhand /data/items/bakemono/shields_caster.txt
#load hair /data/items/bakemono/hair.txt

#generateitem 1 hair
#endpose





