
-------- Light satyrs

#newpose
#id "satyr warriors"
#role "infantry"
#role "scout"

#basedchance 3
#theme "savage"
#theme "male"
#theme "satyr"

#renderorder "shadow extra basesprite legs quiver armor bonusweapon weapon offhandw hands hair helmet offhanda"

#command "#stealthy +0"
#command "#undisciplined"

#load basesprite /data/items/halfmen/satyr/satyr_bases.txt
#load legs /data/items/halfmen/satyr/satyr_legs.txt
#load hair /data/items/halfmen/satyr/satyr_hair.txt
#load shadow /data/items/halfmen/satyr/satyr_shadow.txt
#load hands /data/items/halfmen/satyr/satyr_hands.txt

#load armor /data/items/halfmen/satyr/satyr_armor_light.txt
#load helmet /data/items/halfmen/satyr/satyr_helmet_light.txt

#load weapon /data/items/halfmen/satyr/satyr_weapon.txt
#load weapon /data/items/halfmen/satyr/satyr_weapon_bronze.txt
#load offhand /data/items/halfmen/satyr/satyr_shields.txt
#load bonusweapon /data/items/halfmen/satyr/satyr_bonus_ranged.txt

#endpose



-------- Heavy satyrs
#newpose
#id "satyr soldiers"
#role "infantry"

#basedchance 1.5
#theme "cultured"
#theme "male"
#theme "satyr"

#renderorder "shadow extra basesprite legs quiver armor bonusweapon weapon offhandw hands hair helmet offhanda"

#load basesprite /data/items/halfmen/satyr/satyr_bases.txt
#load legs /data/items/halfmen/satyr/satyr_legs.txt
#load hair /data/items/halfmen/satyr/satyr_hair.txt
#load shadow /data/items/halfmen/satyr/satyr_shadow.txt
#load hands /data/items/halfmen/satyr/satyr_hands.txt

#load armor /data/items/halfmen/satyr/satyr_armor_heavy.txt
#load helmet /data/items/halfmen/satyr/satyr_helmet_heavy.txt

#load weapon /data/items/halfmen/satyr/satyr_weapon.txt
#load weapon /data/items/halfmen/satyr/satyr_weapon_bronze.txt
#load offhand /data/items/halfmen/satyr/satyr_shields.txt
#load bonusweapon /data/items/halfmen/satyr/satyr_bonus_ranged.txt

#maxunits 1

#endpose


-------- Archers

#newpose
#id "satyr archer"
#role "ranged"

#basedchance 1
#theme "male"
#theme "satyr"

#renderorder "shadow extra basesprite legs quiver armor bonusweapon weapon offhandw hands hair helmet offhanda"

-- These are doled out by light armors
-- #command "#stealthy +0"
-- #command "#undisciplined"

#load basesprite /data/items/halfmen/satyr/archer/satyr_bases.txt
#load legs /data/items/halfmen/satyr/satyr_legs.txt
#load hair /data/items/halfmen/satyr/satyr_hair.txt
#load shadow /data/items/halfmen/satyr/satyr_shadow.txt
#load hands /data/items/halfmen/satyr/archer/satyr_hands.txt

#load armor /data/items/halfmen/satyr/archer/satyr_armor.txt
#load helmet /data/items/halfmen/satyr/satyr_helmet_light.txt
#load helmet /data/items/halfmen/satyr/satyr_helmet_heavy.txt

#load weapon /data/items/halfmen/satyr/archer/bows.txt
#load bonusweapon /data/items/halfmen/satyr/archer/satyr_archerweapon.txt
#load quiver /data/items/halfmen/satyr/archer/satyr_bonusranged.txt

#generateitem 1 bonusweapon

#maxunits 1

#endpose


-------- Crossbowmen
#newpose
#id "satyr crossbowmen"
#role "ranged"

#basedchance 0.25
#theme "cultured"
#theme "advanced"
#theme "male"
#theme "satyr"

#renderorder "shadow extra basesprite legs quiver armor bonusweapon weapon offhandw hands hair helmet offhanda"

#load basesprite /data/items/halfmen/satyr/crossbow/satyr_bases.txt
#load legs /data/items/halfmen/satyr/satyr_legs.txt
#load hair /data/items/halfmen/satyr/satyr_hair.txt
#load shadow /data/items/halfmen/satyr/satyr_shadow.txt
#load hands /data/items/halfmen/satyr/crossbow/satyr_hands.txt

#load armor /data/items/halfmen/satyr/crossbow/satyr_armor.txt
#load helmet /data/items/halfmen/satyr/satyr_helmet_heavy.txt

#load weapon /data/items/halfmen/satyr/crossbow/crossbows.txt
#load bonusweapon /data/items/halfmen/satyr/archer/satyr_archerweapon.txt
#load quiver /data/items/halfmen/satyr/archer/satyr_bonusranged.txt

#generateitem 1 bonusweapon

#maxunits 1

#endpose
