weapon_number	attribute	raw_value	end
1	266	1	
2	266	1	
3	266	1	
4	900	1	
4	942	1	
5	266	1	
6	266	1	
7	268	1	
8	266	1	
9	266	1	
10	266	1	
11	266	1	
15	935	1	
15	266	1	
16	935	1	
16	266	1	
17	266	1	
18	266	1	
21	268	1	
23	268	1	
24	268	1	
25	266	1	
26	266	1	
27	302	1	
28	266	1	
34	268	1	
35	482	1	
36	482	1	
37	482	1	
44	482	1	
49	266	1	
57	266	1	
62	302	1	
66	266	1	
71	268	1	
77	482	1	
86	611	1	
86	163	4	
94	266	1	
96	266	1	
100	268	1	
105	913	12	
109	933	10	
114	617	8	
124	482	1	
124	912	10	
126	266	1	
134	617	3	
141	302	1	
147	930	50	
147	900	1	
147	938	1	
153	268	1	
158	935	1	
161	933	20	
161	940	1	
165	268	1	
173	935	1	
188	935	1	
197	930	100	
197	302	2	
197	611	1	
197	163	5	
197	937	1	
197	938	1	
215	302	1	
218	935	1	
231	913	10	
234	266	1	
252	268	1	
253	266	1	
254	302	1	
254	930	50	
254	937	1	
254	938	1	
256	1	0	
257	266	1	
258	266	1	
259	266	1	
260	266	1	
260	302	1	
265	268	1	
266	268	1	
267	266	1	
268	266	1	
269	611	1	
269	163	4	
270	611	1	
270	163	4	
277	917	8	
278	913	8	
282	611	1	
282	163	4	
283	611	1	
283	163	4	
284	611	1	
284	163	5	
285	611	1	
285	163	5	
289	934	10	
290	934	10	
298	935	1	
301	302	1	
304	935	1	
307	266	1	
308	266	1	
311	611	1	
311	163	4	
315	266	1	
317	268	1	
318	268	1	
321	302	1	
324	302	1	
326	266	1	
331	657	1	
345	268	1	
347	935	1	
347	266	1	
351	266	1	
357	266	1	
362	266	1	
363	266	1	
365	935	1	
368	930	100	
370	930	100	
371	930	100	
372	268	1	
373	268	1	
376	266	1	
377	266	1	
378	266	1	
379	266	1	
380	266	1	
381	266	1	
382	266	1	
383	302	1	
390	935	1	
391	935	1	
396	163	5	
402	935	1	
402	933	7	
406	266	1	
407	266	1	
409	268	1	
424	302	1	
425	302	1	
429	268	1	
436	939	20	
437	266	1	
452	268	1	
454	482	1	
459	302	1	
463	266	1	
465	268	1	
471	302	1	
476	934	10	
493	266	1	
494	930	100	
498	268	1	
502	268	1	
514	302	1	
516	935	1	
519	266	1	
522	657	1	
527	266	1	
531	1	0	
533	930	50	
533	900	1	
533	917	8	
533	937	1	
533	938	1	
534	930	50	
534	900	1	
534	919	1	
534	937	1	
534	938	1	
535	930	50	
535	900	1	
535	937	1	
535	938	1	
536	930	100	
536	611	1	
536	163	4	
537	302	3	
539	1	0	
542	935	1	
545	931	50	
545	900	1	
546	302	1	
559	913	8	
565	1	0	
567	930	50	
567	900	1	
567	937	1	
567	938	1	
568	930	50	
568	900	1	
568	937	1	
568	938	1	
569	930	50	
569	900	1	
569	937	1	
569	938	1	
577	1	0	
590	266	1	
593	268	1	
594	268	1	
595	611	1	
595	619	1	
595	163	7	
596	266	1	
596	900	1	
599	302	1	
601	302	1	
606	482	1	
609	931	50	
611	482	1	
612	482	1	
613	1	0	
617	933	10	
618	933	10	
619	1	0	
620	1	0	
626	913	10	
633	1	0	
635	266	1	
637	266	1	
638	266	1	
639	266	1	
640	268	1	
641	1	0	
642	1	0	
643	1	0	
644	1	0	
645	1	0	
646	1	0	
648	1	0	
651	1	0	
659	933	10	
663	268	1	
665	1	0	
668	1	0	
669	1	0	
670	1	0	
673	1	0	
674	1	0	
675	1	0	
679	266	1	
680	1	0	
681	911	16	
685	482	1	
685	919	1	
687	482	1	
687	923	5	
687	919	1	
692	268	1	
693	482	1	
695	1	0	
696	930	50	
696	302	1	
696	900	1	
696	937	1	
696	938	1	
701	1	0	
705	913	8	
706	603	-50	
707	266	1	
709	930	50	
709	900	2	
709	937	1	
709	938	1	
710	930	50	
710	900	1	
710	937	1	
710	938	1	
717	930	100	
717	302	2	
717	611	1	
717	163	4	
717	937	1	
717	938	1	
720	268	1	
721	268	1	
723	302	1	
727	930	50	
727	900	1	
727	937	1	
727	938	1	
731	1	0	
741	1	0	
744	266	1	
746	266	1	
750	1	0	
751	1	0	
752	931	50	
752	900	1	
753	1	0	
755	911	12	
756	911	16	
758	657	1	
759	266	1	
760	935	1	
762	721	16	
764	932	1	
769	900	1	
775	1	0	
776	930	50	
776	900	1	
776	937	1	
776	938	1	
777	1	0	
779	937	1	
779	938	1	
785	266	1	
795	931	50	
795	900	1	
797	266	1	
799	302	3	
799	930	50	
799	900	1	
799	617	3	
799	937	1	
799	938	1	
800	266	1	
801	937	1	
801	938	1	
801	930	100	
802	266	1	
807	933	7	
809	302	1	
811	611	1	
811	163	5	
818	942	1	
818	900	1	
830	657	1	
833	302	3	
836	941	1	
837	611	1	
837	163	4	
839	611	1	
839	163	4	
844	918	1	
848	617	16	
849	611	1	
849	163	4	
850	302	3	
850	930	50	
850	900	1	
850	617	1	
850	937	1	
850	938	1	
851	266	1	
854	617	5	
857	942	2	
857	266	1	
858	943	2	
858	266	1	
861	482	1	
873	268	1	
