id	name	school	researchlevel	path1	pathlevel1	path2	pathlevel2	effect_record_id	effects_count	precision	fatiguecost	gemcost	next_spell	damage	end
0	Nothing	-1	1	-1	0	-1	0	0	0	0	0	0	0	0	
1	Minor Area Shock	-1	1	-1	0	-1	0	1	1	0	0	0	0	1	
2	Major Area Shock	-1	1	-1	0	-1	0	2	1	0	0	0	0	2	
3	Large Area Heat Shock	-1	1	-1	0	-1	0	3	1	0	0	0	0	2010	
4	Mark	-1	1	-1	0	-1	0	4	1	0	0	0	0	261	
5	Thunder Shock	-1	1	-1	0	-1	0	5	1	0	0	0	0	2	
6	rain stone	-1	1	-1	0	-1	0	6	1	0	0	0	0	5	
7	Minor Fear	-1	1	-1	0	-1	0	7	1	0	0	0	0	1	
8	Area Weak Poison	-1	1	-1	0	-1	0	8	1	0	0	0	0	1004	
9	Minor Chill Stun	-1	1	-1	0	-1	0	9	1	0	0	0	0	2010	
10	Army of Zombies	-1	1	-1	0	-1	0	10	2010	0	0	0	0	-2	
11	Area Decay	-1	1	-1	0	-1	0	11	1	0	0	0	0	256	
12	Court of Flame Childs	-1	1	-1	0	-1	0	12	15	0	0	0	0	640	
13	Area Rust	-1	1	-1	0	-1	0	13	1	0	0	0	0	2199023255552	
14	Returning	-1	1	-1	0	-1	0	14	1	0	0	0	0	1	
15	Area Paralyze	-1	1	-1	0	-1	0	15	1	0	0	0	0	10	
16	Court of Undines	-1	1	-1	0	-1	0	16	15	0	0	0	0	360	
17	Summon Longdeads	-1	1	-1	0	-1	0	17	5	0	0	0	0	-2	
18	Summon Devil	-1	1	-1	0	-1	0	18	1	0	0	0	0	304	
19	Fire Resistance	-1	1	-1	0	-1	0	19	1	0	0	0	0	1024	
20	Large Area Decay	-1	1	-1	0	-1	0	20	1	0	0	0	0	256	
21	Major Fear	-1	1	-1	0	-1	0	21	1	0	0	0	0	3	
22	...	-1	1	-1	0	-1	0	22	1	0	0	0	0	0	
23	Summon Vine Man	-1	1	-1	0	-1	0	23	1	0	0	0	0	361	
24	Area Feeble Mind	-1	1	-1	0	-1	0	24	1	0	0	0	0	33554432	
25	10 Trolls	-1	1	-1	0	-1	0	25	10	0	0	0	60	518	
26	40 imps	-1	1	-1	0	-1	0	26	40	0	0	0	0	303	
27	"Strength, Barkskin and Regeneration"	-1	1	-1	0	-1	0	27	1	0	0	0	0	176	
28	Court of Gnomes	-1	1	-1	0	-1	0	28	15	0	0	0	0	561	
29	Court of Sylphs	-1	1	-1	0	-1	0	29	15	0	0	0	0	562	
30	Archer Illusions	-1	1	-1	0	-1	0	30	40	0	0	0	0	3233	
31	Meteor Shower	-1	1	-1	0	-1	0	31	1	0	0	0	107	150	
32	Mummification	-1	1	-1	0	-1	0	32	1	0	0	0	0	625	
33	Summon Jinn	-1	1	-1	0	-1	0	33	1	0	0	0	0	490	
34	Ark	-1	1	-1	0	-1	0	34	1	0	0	0	0	58	
35	Area Chest Wound	-1	1	-1	0	-1	0	35	1	0	0	0	0	8388608	
36	15 Sea Trolls	-1	1	-1	0	-1	0	36	15	0	0	0	72	564	
37	30 Draconians	-1	1	-1	0	-1	0	37	30	0	0	0	0	593	
38	Court of Sprites	-1	1	-1	0	-1	0	38	10	0	0	0	124	592	
39	Heat Stun	-1	1	-1	0	-1	0	39	1	0	0	0	0	2010	
40	Extra feeble mind battle field	-1	1	-1	0	-1	0	40	1	0	0	0	0	33554432	
41	Extra cold immunity	-1	1	-1	0	-1	0	41	1	0	0	0	0	2305843009213693952	
42	Minor Paralysis	-1	1	-1	0	-1	0	42	1	0	0	0	0	5	
43	extra limp	-1	1	-1	0	-1	0	43	1	0	0	0	44	262144	
44	extra cripple	-1	1	-1	0	-1	0	44	1	0	0	0	0	16777216	
45	15 Ether Warriors	-1	1	-1	0	-1	0	45	15	0	0	0	0	736	
46	Extra Soulless	-1	1	-1	0	-1	0	46	150	0	0	0	0	-3	
47	Entangle	-1	1	-1	0	-1	0	47	1	0	0	0	0	64	
48	ormflock	-1	1	-1	0	-1	0	48	5	0	0	0	0	403	
49	impflock	-1	1	-1	0	-1	0	49	10	0	0	0	0	303	
50	7 shades	-1	1	-1	0	-1	0	50	7	0	0	0	0	676	
51	3 beast bats	-1	1	-1	0	-1	0	51	3	0	0	0	0	1357	
52	4 lions	-1	1	-1	0	-1	0	52	4	0	0	0	0	628	
53	10 wolves	-1	1	-1	0	-1	0	53	10	0	0	0	0	284	
54	cast returning	-1	1	-1	0	-1	0	54	1	0	0	0	0	8388608	
55	Grow Knight	-1	1	-1	0	-1	0	55	1	0	0	0	0	959	
56	Grow Lich	-1	1	-1	0	-1	0	56	1	0	0	0	0	960	
57	Scrying	-1	1	-1	0	-1	0	57	1	0	0	0	0	0	
58	Summon Qarin	-1	1	-1	0	-1	0	58	1	0	0	0	0	3471	
59	Grow Headless Hoburg	-1	1	-1	0	-1	0	59	1	0	0	0	0	1139	
60	5 War Trolls	-1	1	-1	0	-1	0	60	5	0	0	0	61	1037	
61	2 Troll Moose Knights	-1	1	-1	0	-1	0	61	2	0	0	0	0	1086	
62	Telkhine Malediction	-1	1	-1	0	-1	0	62	1	0	0	0	0	45	
63	Minor Paralysis	-1	1	-1	0	-1	0	63	1	0	0	0	0	5	
64	1 Ether Lord	-1	1	-1	0	-1	0	64	1	0	0	0	45	737	
65	Wolves	-1	1	-1	0	-1	0	65	3	0	0	0	0	284	
66	Battle Darkness	-1	1	-1	0	-1	0	66	1	0	0	0	0	77	
67	Beast Bats	-1	1	-1	0	-1	0	67	8	0	0	0	0	1357	
68	Angels of the Choir	-1	1	-1	0	-1	0	68	9	0	0	0	69	1367	
69	Harbingers of the Choir	-1	1	-1	0	-1	0	69	3	0	0	0	0	3869	
70	Heat of Buer	-1	1	-1	0	-1	0	70	1	0	0	2	0	6	
71	Disbelieve	-1	1	-1	0	-1	0	71	1	0	0	0	0	999	
72	5 Troll Guards	-1	1	-1	0	-1	0	72	5	0	0	0	0	1425	
73	Gate Summon Fire	-1	1	-1	0	-1	0	73	1	0	0	0	74	304	
74	Gate Summon Ice	-1	1	-1	0	-1	0	74	1	0	0	0	75	449	
75	Gate Summon Storm	-1	1	-1	0	-1	0	75	1	0	0	0	76	632	
76	Gate Summon Iron	-1	1	-1	0	-1	0	76	1	0	0	0	0	489	
77	10 Tengu Warriors	-1	1	-1	0	-1	0	77	13	0	0	0	78	1481	
78	15 Karasu Tengus	-1	1	-1	0	-1	0	78	20	0	0	0	0	1478	
79	Natural Rain	-1	1	2	0	-1	0	79	1	0	0	0	0	7	
80	Open Soul Trap	-1	1	-1	0	-1	0	80	4	0	0	0	0	-18	
81	area10 cold dmg3	-1	1	-1	0	-1	0	81	1	0	0	0	0	3	
82	Cleansing Chime	-1	1	-1	0	-1	0	82	1	100	0	0	0	20	
83	Astral Geyser Blast	-1	1	-1	0	-1	0	83	1	0	0	0	0	2	
84	Chastisement	-1	1	-1	0	-1	0	84	1	0	0	0	0	999	
85	age ten years	-1	1	-1	0	-1	0	85	1	0	0	0	0	10	
86	age three years	-1	1	-1	0	-1	0	86	1	0	0	0	0	3	
87	6 Maenads	-1	1	-1	0	-1	0	87	6	0	0	0	0	435	
88	10 False Horrors	-1	1	-1	0	-1	0	88	10	0	0	0	0	448	
89	4 Wheels	-1	1	-1	0	-1	0	89	4	0	0	0	0	2051	
90	4 Ditanu	-1	1	-1	0	-1	0	90	4	0	0	0	91	2045	
91	Kill Caster	-1	1	-1	0	-1	0	91	1	0	0	0	0	9999	
92	1 Horse-face	-1	1	-1	0	-1	0	92	1	0	0	0	0	2090	
93	Natural Storm	-1	1	2	0	-1	0	93	1	0	0	0	0	1	
94	Astral Harpoon	-1	1	-1	0	-1	0	94	1	0	0	0	0	0	
95	Swarm	-1	1	-1	0	-1	0	95	30	0	0	0	0	-9	
96	Sounder of Boars	-1	1	-1	0	-1	0	96	5	0	0	0	0	2136	
97	Pack of Wolves	-1	1	-1	0	-1	0	97	5	0	0	0	0	1224	
98	Grow Monster	-1	1	-1	0	-1	0	98	1	0	0	0	0	-5	
