id#;name;era;frq;mask;lvl;type;F;A;W;E;S;D;N;B;gold;res;sup;unr;exp;lab;fort;scale1;scale2;rit;ritrng;runit1;;runit2;;runit3;;runit4;;runit5;;sumpath;sum1;sum1name;#sum1;sum2;sum2name;#sum2;sum3;sum3name;#sum3;conj;alter;evo;const;ench;thau;blood;heal;disease;curse;horror;holyfire;holypow;scry;adventure;plains;forest;mount;waste;farm;sea;coast;swamp;deepsea;cave;unique;other
1;The Smouldercone;2;5;0;0;Fire;4;;;;;;;;;;;;;;;Heat;;;;923;Warlock Apprentice;89;Warlock;87;Demonbred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;The Coral Towers;2;5;0;0;Water;;;5;;;;;;;;;;;;;;;;;102;Initiate of the Deep;104;Deep Seer;209;Mother Guard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Cathedral of the Spheres;2;5;0;0;Astral;;2;1;;5;;;;;;;;;;;;;;;41;Arch Theurg;51;Battle Vestal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Swamps of Pythia;12;5;0;1;Nature;;;;;;;;;;;;;;;;;;;;1840;Hydra Hatchling;1831;Hydra;296;Hydra Tamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Forest of Avalon;2;5;0;0;Nature;;;;;;;3;;;;;;;;;;;;;212;Lord Warden;65;Warden of Avalon;;Knight Commander of Avalon;64;Knight of Avalon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Tower of Avalon;2;5;0;0;Nature;;2;;;;;;;;;;;;;;;;;;151;Daughter of Avalon;153;Crone of Avalon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;The Keep of Ulm;2;5;0;0;Earth;;;;;;;;;;;;;;;;;;;;;Black Priest;;Priest Smith;113;Lord Guardian;66;Guardian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;The Forges of Ulm;2;5;0;0;Earth;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;The Temple City;1;5;0;0;Death;;;;;;4;2;;;;;;;;;;;;;177;Lizard King;1366;Lizard Heir;783;Serpent Dancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Tower of a Thousand Stars;2;5;0;0;Astral;;;;;4;;1;;;;;;;;;;;;;301;Astrologer;747;Heart Companion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;The Citadel of Frozen Crystal;2;5;0;0;Water;;3;2;;;;;;;;;;;;;;;;;358;Temple Guard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Empoisoners Guild;23;5;0;0;Nature;;;;;;;;;;;;;;;;;;;;503;Poison Slinger;502;Empoisoner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;The House of Fiery Justice;2;5;0;0;Holy;4;;;;1;;;;;;;;;;;;;;;;High Inquisitor;223;Grand Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;50%;;;;;;;;;;;;;;;
14;The Grove of Gaia;2;5;0;0;Nature;;;;;;;5;;;;;;;;;;;;;769;White Centaur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;The Halls of Andvare;2;5;0;0;Earth;;;;3;;;;;;;;;;;;;;;;323;Dwarven Smith;463;Fay Boar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Iron Woods;2;5;0;0;Nature;;;;;1;2;2;;;;;;;;;;;;;785;Gygja;;Garmhirding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;The Sunken City;23;5;0;0;Astral;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Ravens Vale;2;5;0;0;Death;;;;;;;;;;;;;;;;;;;;414;Wingless;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Hidden Grove;2;5;0;0;Nature;;;;;;;;;;;;;;;;;;;;516;Pandemoniac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Surakid's Tower;;5;0;1;Astral;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Mine of the Cyclops;;5;0;0;Earth;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Bolivar's Tower of Reflections;;5;0;3;Air;;4;;;;;;;;;;;;;;;;;;341;Illusionist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;The Unholy Sepulchre;3;5;0;0;Holy;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;The Unholy Sepulchre;3;5;0;0;Holy;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;The Unholy Sepulchre;3;5;0;0;Holy;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Starke's Ice Cave;;5;0;1;Water;;;4;;;;;;;;;;;;;Cold;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;The Queen's Galley;;5;0;1;Death;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
