id#;unitname;wpn1;wpn2;wpn3;wpn4;wpn5;wpn6;wpn7;helm;armor;shield;misc;rt;lim;basecost;gmon;gcom;rsrc;sz;resz;hp;prot;mr;mor;str;att;def;prec;enc;map;ap;adx;cav;inv;ldr-n;ldr-u;ldr-m;agestrt;ageold;hand;head;body;foot;misc;path;dom;inn;F;A;W;E;S;D;N;B;H;rand1;nbr1;link1;mask1;rand2;nbr2;link2;mask2;rand3;nbr3;link3;mask3;rand4;nbr4;link4;mask4;holy;inq;mind;lifeless;undead;demon;mgcbng;stone;animal;cldbld;female;forest;mount;waste;swamp;cave;aqua;amphi;pamph;float;fly;strmfly;telep;immob;noriver;sailsz;sailmaxsz;stealth;glam;spy;assassin;patience;seduce;succubus;corrupt;rec;imm;reinc;noheal;noeat;homesick;undisc;ffight;slave;std;i-ldr;taskm;beastm;bodyg;waterbr;iceprot;invul;slash;blunt;pierce;resshck;resfire;rescold;respois;voidsan;dv;blind;aawe;awe;halt;fear;brsrk;chill;heat;fshld;bfshld;dmgrev;pcloud;plague;slime;mindslime;disbel;reform;regen;reanim;barbs;petrify;eyeloss;eth;ethtrue;deathcu;trmpl;swal;pwstrm;pwfire;pwcold;pwdark;pwchaos;pwmagic;winter;spring;summer;fall;forge;fixforge;smith;reso;heal;dishe;alch;fortune;event;insane;soulsh;reaper;tax;gem;gemgen;chaosrec;pllg;ptrl;cdef;siege;def-org;sup;unrest;popkill;research;drainres;i-resch;bloodsearch;sacr;ivylord;xbreed;pearl;pathboost;ritualrange;voidsum;her;eleg;shapechange;1shape;2shape;tmp2shape;landshape;seashape;forestshape;normalshape;unique;uniquename;special;nametype;type;class;from;sum;#sum;autosum;#autosum;batsum;#batsum;domsum;#domsum
0;no one;6;;;;;;;20;9;;;;;0;0;0;1;2;2;12;0;10;12;10;11;11;10;3;2;12;0;0;0;40;0;0;22;50;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;n/a;Unused;;;;;;;;;
1;Grigori;92;;;;;;;;158;;;1;;0;0;0;1;4;4;30;4;20;30;15;7;7;10;3;2;12;0;0;0;0;0;0;3670;10000;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Grigorius;;;c;Commander;Wish;;;;;;;;
2;Standard;6;21;;;;;;127;116;4;;1;;10020;20;20;1;2;2;10;0;10;10;10;10;10;10;3;2;12;0;0;0;40;0;0;22;50;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;1;;1;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;u;Unit;Recruitment;;;;;;;;
3;Serpent Cataphract;357;494;;;;;;126;14;2;;1;;10045;60;90;30;3;2;12;0;10;12;12;12;12;8;3;2;16;0;1;0;40;0;0;22;50;2;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;0;;;;u;Unit;Recruitment;;;;;;;;
4;Serpent;495;;;;;;;;;;;1;;0;0;0;1;3;2;28;17;5;13;13;13;10;5;3;2;20;0;0;0;40;0;0;15;31;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;u;Unit;Recruitment;;;;;;;;
5;Serpent Lord;357;494;;;;;;126;14;2;;1;;10045;60;90;30;3;2;13;0;11;15;13;14;13;8;3;2;16;0;1;0;40;0;0;22;50;2;1;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;c;Commander;Recruitment;;;;;;;;
6;Emerald Lord;8;;;;;;;126;14;4;;1;;10030;30;90;1;2;2;15;0;12;16;13;15;14;10;3;2;12;0;0;0;80;0;0;27;50;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;c;Commander;Recruitment;;;;;;;;
7;Emerald Guard;8;;;;;;;126;14;4;;1;;10025;25;55;1;2;2;13;0;10;14;12;13;12;10;3;1;12;0;0;0;40;0;0;22;50;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;3;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;u;Unit;Recruitment;;;;;;;;
8;Empty – Legionnaire;6;21;;;;;;126;11;4;;1;;10;10;10;1;2;2;10;0;10;10;10;10;10;10;3;2;12;0;0;0;40;0;0;22;50;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;n/a;Unused;;;;;;;;;
9;Empty – Legionnaire;6;21;;;;;;126;12;4;;1;;10;10;10;1;2;2;10;0;10;10;10;10;10;10;3;2;12;0;0;0;40;0;0;22;50;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;;;;0;;;0;0;0;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;n/a;Unused;;;;;;;;;
